a	pref_name
(54,"SINGLE PROTEIN","DNA polymerase alpha subunit",9606,"Homo sapiens",CHEMBL1828,0)	DNA polymerase alpha subunit
(55,"SINGLE PROTEIN","Arachidonate 5-lipoxygenase",9606,"Homo sapiens",CHEMBL215,0)	Arachidonate 5-lipoxygenase
(56,"SINGLE PROTEIN","Androgen Receptor",9606,"Homo sapiens",CHEMBL1871,0)	Androgen Receptor
(57,"SINGLE PROTEIN","Retinoic acid receptor alpha",9606,"Homo sapiens",CHEMBL2055,0)	Retinoic acid receptor alpha
(58,"SINGLE PROTEIN","Cytochrome P450 51",237561,"Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)",CHEMBL1780,0)	Cytochrome P450 51
(59,"SINGLE PROTEIN","Thyroid hormone receptor alpha",9606,"Homo sapiens",CHEMBL1860,0)	Thyroid hormone receptor alpha
(60,"SINGLE PROTEIN","Growth hormone receptor",9606,"Homo sapiens",CHEMBL1976,0)	Growth hormone receptor
(61,"SINGLE PROTEIN","Muscarinic acetylcholine receptor M1",9606,"Homo sapiens",CHEMBL216,0)	Muscarinic acetylcholine receptor M1
(62,"SINGLE PROTEIN","DNA topoisomerase I",9606,"Homo sapiens",CHEMBL1781,0)	DNA topoisomerase I
(63,"SINGLE PROTEIN","DNA topoisomerase II alpha",9606,"Homo sapiens",CHEMBL1806,0)	DNA topoisomerase II alpha
(64,"SINGLE PROTEIN","Vitamin D receptor",9606,"Homo sapiens",CHEMBL1977,0)	Vitamin D receptor
(65,"SINGLE PROTEIN","Cytochrome P450 19A1",9606,"Homo sapiens",CHEMBL1978,0)	Cytochrome P450 19A1
(68,"SINGLE PROTEIN","Inosine-5'-monophosphate dehydrogenase 2",9606,"Homo sapiens",CHEMBL2002,0)	Inosine-5'-monophosphate dehydrogenase 2
(69,"SINGLE PROTEIN","Angiotensin-converting enzyme",9606,"Homo sapiens",CHEMBL1808,0)	Angiotensin-converting enzyme
(70,"SINGLE PROTEIN","Dihydrofolate reductase",5839,"Plasmodium falciparum K1",CHEMBL1939,0)	Dihydrofolate reductase
(71,"SINGLE PROTEIN","Farnesyl diphosphate synthase",9606,"Homo sapiens",CHEMBL1782,0)	Farnesyl diphosphate synthase
(72,"SINGLE PROTEIN","Dopamine D2 receptor",9606,"Homo sapiens",CHEMBL217,0)	Dopamine D2 receptor
(73,"SINGLE PROTEIN",Tyrosinase,9606,"Homo sapiens",CHEMBL1973,0)	Tyrosinase
(74,"SINGLE PROTEIN","GABA receptor alpha-1 subunit",9606,"Homo sapiens",CHEMBL1962,0)	GABA receptor alpha-1 subunit
(76,"SINGLE PROTEIN","Cytochrome P450 11B1",9606,"Homo sapiens",CHEMBL1908,0)	Cytochrome P450 11B1
(77,"SINGLE PROTEIN","Pancreatic lipase",9606,"Homo sapiens",CHEMBL1812,0)	Pancreatic lipase
(78,"SINGLE PROTEIN","Thyroid stimulating hormone receptor",9606,"Homo sapiens",CHEMBL1963,0)	Thyroid stimulating hormone receptor
(79,"SINGLE PROTEIN","Steroid 5-alpha-reductase 1",9606,"Homo sapiens",CHEMBL1787,0)	Steroid 5-alpha-reductase 1
(80,"SINGLE PROTEIN","FK506-binding protein 1A",9606,"Homo sapiens",CHEMBL1902,0)	FK506-binding protein 1A
(81,"SINGLE PROTEIN","Myeloid cell surface antigen CD33",9606,"Homo sapiens",CHEMBL1842,0)	Myeloid cell surface antigen CD33
(83,"SINGLE PROTEIN","DOPA decarboxylase",9606,"Homo sapiens",CHEMBL1843,0)	DOPA decarboxylase
(84,"SINGLE PROTEIN","Inosine-5'-monophosphate dehydrogenase 1",9606,"Homo sapiens",CHEMBL1822,0)	Inosine-5'-monophosphate dehydrogenase 1
(86,"SINGLE PROTEIN","Monoamine oxidase A",9606,"Homo sapiens",CHEMBL1951,0)	Monoamine oxidase A
(87,"SINGLE PROTEIN","Cannabinoid CB1 receptor",9606,"Homo sapiens",CHEMBL218,0)	Cannabinoid CB1 receptor
(88,"SINGLE PROTEIN","Dopamine D1 receptor",9606,"Homo sapiens",CHEMBL2056,0)	Dopamine D1 receptor
(89,"SINGLE PROTEIN","Ryanodine receptor 1",9606,"Homo sapiens",CHEMBL1846,0)	Ryanodine receptor 1
(90,"SINGLE PROTEIN","Dopamine D4 receptor",9606,"Homo sapiens",CHEMBL219,0)	Dopamine D4 receptor
(91,"SINGLE PROTEIN","Catechol O-methyltransferase",9606,"Homo sapiens",CHEMBL2023,0)	Catechol O-methyltransferase
(93,"SINGLE PROTEIN",Acetylcholinesterase,9606,"Homo sapiens",CHEMBL220,0)	Acetylcholinesterase
(94,"SINGLE PROTEIN","Cytochrome P450 7A1",9606,"Homo sapiens",CHEMBL1851,0)	Cytochrome P450 7A1
(95,"SINGLE PROTEIN","Luteinizing hormone/Choriogonadotropin receptor",9606,"Homo sapiens",CHEMBL1854,0)	Luteinizing hormone/Choriogonadotropin receptor
(96,"SINGLE PROTEIN",Cyclooxygenase-1,9606,"Homo sapiens",CHEMBL221,0)	Cyclooxygenase-1
(97,"SINGLE PROTEIN","Cyclophilin B",9606,"Homo sapiens",CHEMBL2075,0)	Cyclophilin B
(98,"SINGLE PROTEIN","Ribonucleoside-diphosphate reductase M1 chain",9606,"Homo sapiens",CHEMBL1830,0)	Ribonucleoside-diphosphate reductase M1 chain
(99,"SINGLE PROTEIN","Follicle stimulating hormone receptor",9606,"Homo sapiens",CHEMBL2024,0)	Follicle stimulating hormone receptor
(100,"SINGLE PROTEIN","Norepinephrine transporter",9606,"Homo sapiens",CHEMBL222,0)	Norepinephrine transporter
(102,"SINGLE PROTEIN","Histamine H2 receptor",9606,"Homo sapiens",CHEMBL1941,0)	Histamine H2 receptor
(103,"SINGLE PROTEIN","Alpha-1d adrenergic receptor",9606,"Homo sapiens",CHEMBL223,0)	Alpha-1d adrenergic receptor
(104,"SINGLE PROTEIN","Monoamine oxidase B",9606,"Homo sapiens",CHEMBL2039,0)	Monoamine oxidase B
(105,"SINGLE PROTEIN","Serotonin 1d (5-HT1d) receptor",9606,"Homo sapiens",CHEMBL1983,0)	Serotonin 1d (5-HT1d) receptor
(106,"SINGLE PROTEIN","Serotonin 1b (5-HT1b) receptor",9606,"Homo sapiens",CHEMBL1898,0)	Serotonin 1b (5-HT1b) receptor
(107,"SINGLE PROTEIN","Serotonin 2a (5-HT2a) receptor",9606,"Homo sapiens",CHEMBL224,0)	Serotonin 2a (5-HT2a) receptor
(108,"SINGLE PROTEIN","Serotonin 2c (5-HT2c) receptor",9606,"Homo sapiens",CHEMBL225,0)	Serotonin 2c (5-HT2c) receptor
(109,"SINGLE PROTEIN","UDP-N-acetylglucosamine 1-carboxyvinyltransferase",83333,"Escherichia coli K-12",CHEMBL1984,0)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
(110,"SINGLE PROTEIN","Enoyl-[acyl-carrier-protein] reductase",83333,"Escherichia coli K-12",CHEMBL1857,0)	Enoyl-[acyl-carrier-protein] reductase
(111,"SINGLE PROTEIN","Inositol-1(or 4)-monophosphatase 1",9606,"Homo sapiens",CHEMBL1786,0)	Inositol-1(or 4)-monophosphatase 1
(112,"SINGLE PROTEIN","Vasopressin V2 receptor",9606,"Homo sapiens",CHEMBL1790,0)	Vasopressin V2 receptor
(113,"SINGLE PROTEIN","GABA transporter 1",9606,"Homo sapiens",CHEMBL1903,0)	GABA transporter 1
(114,"SINGLE PROTEIN","Adenosine A1 receptor",9606,"Homo sapiens",CHEMBL226,0)	Adenosine A1 receptor
(115,"SINGLE PROTEIN","Type-1 angiotensin II receptor",9606,"Homo sapiens",CHEMBL227,0)	Type-1 angiotensin II receptor
(116,"SINGLE PROTEIN","Oxytocin receptor",9606,"Homo sapiens",CHEMBL2049,0)	Oxytocin receptor
(117,"SINGLE PROTEIN","Somatostatin receptor 2",9606,"Homo sapiens",CHEMBL1804,0)	Somatostatin receptor 2
(118,"SINGLE PROTEIN","Gonadotropin-releasing hormone receptor",9606,"Homo sapiens",CHEMBL1855,0)	Gonadotropin-releasing hormone receptor
(119,"SINGLE PROTEIN","Calcitonin receptor",9606,"Homo sapiens",CHEMBL1832,0)	Calcitonin receptor
(120,"SINGLE PROTEIN","Steroid 5-alpha-reductase 2",9606,"Homo sapiens",CHEMBL1856,0)	Steroid 5-alpha-reductase 2
(121,"SINGLE PROTEIN","Serotonin transporter",9606,"Homo sapiens",CHEMBL228,0)	Serotonin transporter
(122,"SINGLE PROTEIN","Squalene monooxygenase",559292,"Saccharomyces cerevisiae S288c",CHEMBL1888,0)	Squalene monooxygenase
(123,"SINGLE PROTEIN","4-hydroxyphenylpyruvate dioxygenase",9606,"Homo sapiens",CHEMBL1861,0)	4-hydroxyphenylpyruvate dioxygenase
(124,"SINGLE PROTEIN","Corticotropin releasing factor receptor 1",9606,"Homo sapiens",CHEMBL1800,0)	Corticotropin releasing factor receptor 1
(125,"SINGLE PROTEIN","Alpha-1a adrenergic receptor",9606,"Homo sapiens",CHEMBL229,0)	Alpha-1a adrenergic receptor
(126,"SINGLE PROTEIN",Cyclooxygenase-2,9606,"Homo sapiens",CHEMBL230,0)	Cyclooxygenase-2
(127,"SINGLE PROTEIN","Histamine H1 receptor",9606,"Homo sapiens",CHEMBL231,0)	Histamine H1 receptor
(128,"SINGLE PROTEIN","Alpha-1b adrenergic receptor",9606,"Homo sapiens",CHEMBL232,0)	Alpha-1b adrenergic receptor
(129,"SINGLE PROTEIN","Mu opioid receptor",9606,"Homo sapiens",CHEMBL233,0)	Mu opioid receptor
(130,"SINGLE PROTEIN","Dopamine D3 receptor",9606,"Homo sapiens",CHEMBL234,0)	Dopamine D3 receptor
(131,"SINGLE PROTEIN","Sodium channel protein type I alpha subunit",9606,"Homo sapiens",CHEMBL1845,0)	Sodium channel protein type I alpha subunit
(132,"SINGLE PROTEIN","Amiloride-sensitive sodium channel alpha-subunit",9606,"Homo sapiens",CHEMBL1791,0)	Amiloride-sensitive sodium channel alpha-subunit
(133,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor gamma",9606,"Homo sapiens",CHEMBL235,0)	Peroxisome proliferator-activated receptor gamma
(134,"SINGLE PROTEIN","Vasopressin V1a receptor",9606,"Homo sapiens",CHEMBL1889,0)	Vasopressin V1a receptor
(136,"SINGLE PROTEIN","Delta opioid receptor",9606,"Homo sapiens",CHEMBL236,0)	Delta opioid receptor
(137,"SINGLE PROTEIN","Kappa opioid receptor",9606,"Homo sapiens",CHEMBL237,0)	Kappa opioid receptor
(138,"SINGLE PROTEIN","Nociceptin receptor",9606,"Homo sapiens",CHEMBL2014,0)	Nociceptin receptor
(139,"SINGLE PROTEIN","Isoleucyl-tRNA synthetase",1280,"Staphylococcus aureus",CHEMBL1982,0)	Isoleucyl-tRNA synthetase
(140,"SINGLE PROTEIN","Prostanoid FP receptor",9606,"Homo sapiens",CHEMBL1987,0)	Prostanoid FP receptor
(142,"SINGLE PROTEIN","Prostanoid EP2 receptor",9606,"Homo sapiens",CHEMBL1881,0)	Prostanoid EP2 receptor
(143,"SINGLE PROTEIN","Prostanoid IP receptor",9606,"Homo sapiens",CHEMBL1995,0)	Prostanoid IP receptor
(144,"SINGLE PROTEIN","Serotonin 3a (5-HT3a) receptor",9606,"Homo sapiens",CHEMBL1899,0)	Serotonin 3a (5-HT3a) receptor
(145,"SINGLE PROTEIN","Enoyl-[acyl-carrier-protein] reductase",1773,"Mycobacterium tuberculosis",CHEMBL1849,0)	Enoyl-[acyl-carrier-protein] reductase
(146,"SINGLE PROTEIN","Glucagon receptor",9606,"Homo sapiens",CHEMBL1985,0)	Glucagon receptor
(147,"SINGLE PROTEIN","Secretin receptor",9606,"Homo sapiens",CHEMBL1925,0)	Secretin receptor
(148,"SINGLE PROTEIN","Vasopressin V1b receptor",9606,"Homo sapiens",CHEMBL1921,0)	Vasopressin V1b receptor
(149,"SINGLE PROTEIN","Xanthine dehydrogenase",9606,"Homo sapiens",CHEMBL1929,0)	Xanthine dehydrogenase
(150,"SINGLE PROTEIN","Voltage-gated calcium channel alpha2/delta subunit 1",9606,"Homo sapiens",CHEMBL1919,0)	Voltage-gated calcium channel alpha2/delta subunit 1
(151,"SINGLE PROTEIN","Thiazide-sensitive sodium-chloride cotransporter",9606,"Homo sapiens",CHEMBL1876,0)	Thiazide-sensitive sodium-chloride cotransporter
(152,"SINGLE PROTEIN","Arabinosyltransferase A",1773,"Mycobacterium tuberculosis",CHEMBL1877,0)	Arabinosyltransferase A
(153,"SINGLE PROTEIN","Gamma-amino-N-butyrate transaminase",9606,"Homo sapiens",CHEMBL2044,0)	Gamma-amino-N-butyrate transaminase
(154,"SINGLE PROTEIN","Melanocortin receptor 2",9606,"Homo sapiens",CHEMBL1965,0)	Melanocortin receptor 2
(155,"SINGLE PROTEIN","Dopamine transporter",9606,"Homo sapiens",CHEMBL238,0)	Dopamine transporter
(157,"SINGLE PROTEIN","Dihydroorotate dehydrogenase",9606,"Homo sapiens",CHEMBL1966,0)	Dihydroorotate dehydrogenase
(158,"SINGLE PROTEIN","Growth hormone-releasing hormone receptor",9606,"Homo sapiens",CHEMBL2032,0)	Growth hormone-releasing hormone receptor
(159,"SINGLE PROTEIN","Cytochrome b",5833,"Plasmodium falciparum",CHEMBL1777,0)	Cytochrome b
(160,"SINGLE PROTEIN","Parathyroid hormone receptor",9606,"Homo sapiens",CHEMBL1793,0)	Parathyroid hormone receptor
(161,"SINGLE PROTEIN","Glutamate (NMDA) receptor subunit zeta 1",9606,"Homo sapiens",CHEMBL2015,0)	Glutamate (NMDA) receptor subunit zeta 1
(162,"SINGLE PROTEIN","Synaptic vesicular amine transporter",9606,"Homo sapiens",CHEMBL1893,0)	Synaptic vesicular amine transporter
(163,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor alpha",9606,"Homo sapiens",CHEMBL239,0)	Peroxisome proliferator-activated receptor alpha
(164,"SINGLE PROTEIN","Sulfonylurea receptor 1",9606,"Homo sapiens",CHEMBL2071,0)	Sulfonylurea receptor 1
(165,"SINGLE PROTEIN",HERG,9606,"Homo sapiens",CHEMBL240,0)	HERG
(166,"SINGLE PROTEIN","Glutamate [NMDA] receptor subunit epsilon 1",9606,"Homo sapiens",CHEMBL1972,0)	Glutamate [NMDA] receptor subunit epsilon 1
(167,"SINGLE PROTEIN","Sodium-(potassium)-chloride cotransporter 2",9606,"Homo sapiens",CHEMBL1874,0)	Sodium-(potassium)-chloride cotransporter 2
(168,"SINGLE PROTEIN","Serotonin 4 (5-HT4) receptor",9606,"Homo sapiens",CHEMBL1875,0)	Serotonin 4 (5-HT4) receptor
(169,"SINGLE PROTEIN","Voltage-gated L-type calcium channel alpha-1C subunit",9606,"Homo sapiens",CHEMBL1940,0)	Voltage-gated L-type calcium channel alpha-1C subunit
(170,"SINGLE PROTEIN","Phosphodiesterase 3A",9606,"Homo sapiens",CHEMBL241,0)	Phosphodiesterase 3A
(172,"SINGLE PROTEIN","Thioredoxin reductase 1",9606,"Homo sapiens",CHEMBL1927,0)	Thioredoxin reductase 1
(174,"SINGLE PROTEIN","Estrogen receptor beta",9606,"Homo sapiens",CHEMBL242,0)	Estrogen receptor beta
(175,"SINGLE PROTEIN","Equilibrative nucleoside transporter 1",9606,"Homo sapiens",CHEMBL1997,0)	Equilibrative nucleoside transporter 1
(176,"SINGLE PROTEIN","Purinergic receptor P2Y12",9606,"Homo sapiens",CHEMBL2001,0)	Purinergic receptor P2Y12
(178,"SINGLE PROTEIN","Dihydrofolate reductase",42068,"Pneumocystis jirovecii",CHEMBL2057,0)	Dihydrofolate reductase
(179,"SINGLE PROTEIN","Cysteinyl leukotriene receptor 1",9606,"Homo sapiens",CHEMBL1798,0)	Cysteinyl leukotriene receptor 1
(180,"SINGLE PROTEIN","Cyclophilin A",9606,"Homo sapiens",CHEMBL1949,0)	Cyclophilin A
(181,"SINGLE PROTEIN","B-lymphocyte antigen CD20",9606,"Homo sapiens",CHEMBL2058,0)	B-lymphocyte antigen CD20
(182,"SINGLE PROTEIN","Interleukin-2 receptor alpha chain",9606,"Homo sapiens",CHEMBL1778,0)	Interleukin-2 receptor alpha chain
(183,"SINGLE PROTEIN","Major surface antigen",489449,"Hepatitis B virus adw2/Southern-Africa/Cai",CHEMBL1928,0)	Major surface antigen
(184,"SINGLE PROTEIN","Glutamate carboxypeptidase II",9606,"Homo sapiens",CHEMBL1892,0)	Glutamate carboxypeptidase II
(185,"SINGLE PROTEIN",TNF-alpha,9606,"Homo sapiens",CHEMBL1825,0)	TNF-alpha
(186,"SINGLE PROTEIN","Tetanus toxin",212717,"Clostridium tetani (strain Massachusetts / E88)",CHEMBL2036,0)	Tetanus toxin
(187,"SINGLE PROTEIN","Vascular endothelial growth factor A",9606,"Homo sapiens",CHEMBL1783,0)	Vascular endothelial growth factor A
(188,"SINGLE PROTEIN","Receptor protein-tyrosine kinase erbB-2",9606,"Homo sapiens",CHEMBL1824,0)	Receptor protein-tyrosine kinase erbB-2
(190,"SINGLE PROTEIN","Leukocyte adhesion glycoprotein LFA-1 alpha",9606,"Homo sapiens",CHEMBL1803,0)	Leukocyte adhesion glycoprotein LFA-1 alpha
(191,"SINGLE PROTEIN","Human immunodeficiency virus type 1 protease",11676,"Human immunodeficiency virus 1",CHEMBL243,0)	Human immunodeficiency virus type 1 protease
(193,"SINGLE PROTEIN","Coagulation factor IX",9606,"Homo sapiens",CHEMBL2016,0)	Coagulation factor IX
(194,"SINGLE PROTEIN","Coagulation factor X",9606,"Homo sapiens",CHEMBL244,0)	Coagulation factor X
(195,"SINGLE PROTEIN",TNF-beta,9606,"Homo sapiens",CHEMBL2059,0)	TNF-beta
(196,"SINGLE PROTEIN","T-cell surface antigen CD2",9606,"Homo sapiens",CHEMBL2040,0)	T-cell surface antigen CD2
(197,"SINGLE PROTEIN","Platelet-derived growth factor receptor beta",9606,"Homo sapiens",CHEMBL1913,0)	Platelet-derived growth factor receptor beta
(198,"SINGLE PROTEIN","Interleukin-1 receptor",9606,"Homo sapiens",CHEMBL1959,0)	Interleukin-1 receptor
(200,"SINGLE PROTEIN","Interferon-alpha/beta receptor alpha chain",9606,"Homo sapiens",CHEMBL1887,0)	Interferon-alpha/beta receptor alpha chain
(201,"SINGLE PROTEIN","Erythropoietin receptor",9606,"Homo sapiens",CHEMBL1817,0)	Erythropoietin receptor
(203,"SINGLE PROTEIN","CAMPATH-1 antigen",9606,"Homo sapiens",CHEMBL1912,0)	CAMPATH-1 antigen
(206,"SINGLE PROTEIN","Interleukin 11 receptor alpha",9606,"Homo sapiens",CHEMBL2050,0)	Interleukin 11 receptor alpha
(207,"SINGLE PROTEIN","Granulocyte colony stimulating factor receptor",9606,"Homo sapiens",CHEMBL1996,0)	Granulocyte colony stimulating factor receptor
(208,"SINGLE PROTEIN","Elastase 1",9606,"Homo sapiens",CHEMBL3000,0)	Elastase 1
(212,"SINGLE PROTEIN","Penicillin-binding protein 1B",83333,"Escherichia coli K-12",CHEMBL1814,0)	Penicillin-binding protein 1B
(213,"SINGLE PROTEIN","Thymidine kinase",10309,"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)",CHEMBL1820,0)	Thymidine kinase
(214,"SINGLE PROTEIN","Muscarinic acetylcholine receptor M4",9606,"Homo sapiens",CHEMBL1821,0)	Muscarinic acetylcholine receptor M4
(215,"SINGLE PROTEIN","Muscarinic acetylcholine receptor M5",9606,"Homo sapiens",CHEMBL2035,0)	Muscarinic acetylcholine receptor M5
(216,"SINGLE PROTEIN","Alpha-2b adrenergic receptor",9606,"Homo sapiens",CHEMBL1942,0)	Alpha-2b adrenergic receptor
(218,"SINGLE PROTEIN","Alpha-2c adrenergic receptor",9606,"Homo sapiens",CHEMBL1916,0)	Alpha-2c adrenergic receptor
(219,"SINGLE PROTEIN","Muscarinic acetylcholine receptor M3",9606,"Homo sapiens",CHEMBL245,0)	Muscarinic acetylcholine receptor M3
(220,"SINGLE PROTEIN","Dopamine D5 receptor",9606,"Homo sapiens",CHEMBL1850,0)	Dopamine D5 receptor
(221,"SINGLE PROTEIN","GABA receptor beta-2 subunit",9606,"Homo sapiens",CHEMBL1920,0)	GABA receptor beta-2 subunit
(222,"SINGLE PROTEIN","Glutamate [NMDA] receptor subunit epsilon 2",9606,"Homo sapiens",CHEMBL1904,0)	Glutamate [NMDA] receptor subunit epsilon 2
(223,"SINGLE PROTEIN","Ryanodine receptor 3",9606,"Homo sapiens",CHEMBL2062,0)	Ryanodine receptor 3
(224,"SINGLE PROTEIN","Vitamin k epoxide reductase complex subunit 1 isoform 1",9606,"Homo sapiens",CHEMBL1930,0)	Vitamin k epoxide reductase complex subunit 1 isoform 1
(226,"SINGLE PROTEIN","Beta-3 adrenergic receptor",9606,"Homo sapiens",CHEMBL246,0)	Beta-3 adrenergic receptor
(227,"SINGLE PROTEIN","Serotonin 2b (5-HT2b) receptor",9606,"Homo sapiens",CHEMBL1833,0)	Serotonin 2b (5-HT2b) receptor
(228,"SINGLE PROTEIN","Human immunodeficiency virus type 1 reverse transcriptase",11676,"Human immunodeficiency virus 1",CHEMBL247,0)	Human immunodeficiency virus type 1 reverse transcriptase
(229,"SINGLE PROTEIN","Ig epsilon chain C region",9606,"Homo sapiens",CHEMBL1834,0)	Ig epsilon chain C region
